frame,temperature_C,window,q_Ainv,observed_intensity,total_fit_intensity,background_intensity,residual_intensity,standardized_residual,component_q0295_broad,component_q0307_narrow,component_q0334,component_q0480,component_q0536,component_q0604,component_q0642,component_q0754,component_q0947,component_q1532,component_q1713,component_q1750,component_q1999,component_q2086,component_q2117,component_q2279
193,40.0,heated_low_q_0480_0536,0.5546875,38.43785317,38.046895976049804,37.199806568545505,0.390957193950193,0.9076179187339005,,,,0.016542929815220354,0.8305464776890756,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.5609125,37.55152546,37.42974664581434,36.88050815126986,0.12177881418566017,0.2827128790246851,,,,0.014409881419996422,0.5348286131244875,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.5671375,36.43423354,36.94431349887755,36.561209733994225,-0.5100799588775473,-1.1841647060810774,,,,0.012663188041276913,0.3704405768420457,,,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.5733625,35.8308328,35.566047950076936,35.56604795007692,0.2647848499230676,0.7226873940563447,,,,,,1.589714337419195e-14,1.3225991311044364e-17,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.5795875,35.23144082,35.30854599047849,35.30854598869385,-0.07710517047848953,-0.21044608382073188,,,,,,1.7846263942157412e-09,1.734117263355027e-14,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.5858125,35.38349431,35.05105814186555,35.05104402731078,0.33243616813444987,0.9073307181621817,,,,,,1.4114543728861581e-05,1.1040281541345414e-11,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.5920375,34.70680183,34.801406688308354,34.79354206592771,-0.09460485830835097,-0.25820864953488276,,,,,,0.00786461896766546,3.4129764666440155e-09,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.5982625,34.59454593,34.84477133291673,34.53604010454464,-0.2502254029167261,-0.6829497398099953,,,,,,0.3087307160561154,5.123159736222746e-07,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6044875,35.31617211,35.13240921057837,34.278538143161576,0.18376289942162316,0.501551093069851,,,,,,0.853833725727714,3.7341689087782604e-05,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6107125,33.7132789,34.18872129859864,34.021036181778506,-0.4754423985986378,-1.2976430795303366,,,,,,0.1663635124123455,0.001321604407784561,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6169375,33.86963478,33.78853016022035,33.76353422039543,0.08110461977965144,0.22136193340184257,,,,,,0.002283674318350184,0.02271226550657111,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6231625,33.61968129,33.69556138219136,33.506032259012365,-0.07588009219135472,-0.20710243090742625,,,,,,2.208521166727696e-06,0.18952691465782603,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6293875,34.13052247,34.016480019202255,33.248530297629294,0.11404245079774711,0.3112604123792157,,,,,,1.504735873947688e-10,0.767949721422487,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6356125,34.40138102,34.50196458308206,32.991028336246224,-0.10058356308205418,-0.2745265565979008,,,,,,7.222878261067543e-16,1.5109362468358323,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6418375,34.22058049,34.17700697280779,32.73352637486316,0.043573517192214695,0.1189268630688663,,,,,,2.4425959133832893e-22,1.4434805979446252,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6480625,33.20814125,33.145642568570366,32.47602441348008,0.062498681429630665,0.1705800359327982,,,,,,5.8194811837419995e-30,0.6696181550902864,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6542875,32.20943343,32.369354958345774,32.21852245209701,-0.15992152834577666,-0.43647992929843477,,,,,,9.768057816458432e-39,0.15083250624875824,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6605125,31.7975438,31.977517838614183,31.96102049071395,-0.17997403861418348,-0.49121001069989534,,,,,,1.1551103779372147e-48,0.016497347900233966,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6667375,31.5846768,31.70439469206398,31.70351852933088,-0.11971789206397787,-0.3267506107799318,,,,,,9.623433752870602e-60,0.0008761627330996124,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6729625,31.66408337,31.446039162663393,31.446016567947808,0.21804420733660734,0.5951163748037617,,,,,,5.648432553358227e-72,2.2594715584446577e-05,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6791875,31.06031334,31.188514889495675,31.188514606564738,-0.12820154949567453,-0.3499053807116743,,,,,,2.3357004513381358e-85,2.8293093789833584e-07,,,,,,,,,
193,40.0,heated_low_q_0604_0642,0.6854125,31.29242175,30.931012646901976,30.93101264518167,0.36140910309802265,0.9864076550529137,,,,,,6.804522477803813e-100,1.7203050244133572e-09,,,,,,,,,
